,time,caltime,pixmem,addsOrSubs,divisions,comparisons,width,height,width2,height2,dx,dy,X,Y,numPixelsOrig,numPixelsSub,index
224,0.479897,0.204532,80821404,0,0,78046004,10000,10000,970,2343,0,0,4914,3889,100000000,2272710,49143889
238,0.457568,0.178158,81933790,0,0,77304010,10000,10000,1678,2621,0,0,4923,5374,100000000,4398038,49235374
20,0.14668,0.062620,27910342,0,0,25560907,10000,10000,122,7645,0,0,4926,79,100000000,932690,49260079
138,0.581137,0.242508,90943116,0,0,88064304,10000,10000,1817,1378,0,0,4939,3748,100000000,2503826,49393748
172,0.460326,0.197035,84190116,0,0,78213919,10000,10000,1945,2759,0,0,4987,3006,100000000,5366255,49873006
166,0.671236,0.282179,102385764,0,0,101027579,10000,10000,322,18,0,0,4991,9543,100000000,5796,49919543
171,0.56627,0.240540,94826358,0,0,91965153,10000,10000,2178,1126,0,0,5019,8348,100000000,2452428,50198348
183,0.637256,0.268777,99048736,0,0,97718996,10000,10000,917,465,0,0,5053,9219,100000000,426405,50539219
249,0.513578,0.216134,92590544,0,0,80206527,10000,10000,3603,3301,0,0,5061,2554,100000000,11893503,50612554
229,0.597077,0.250352,96458354,0,0,93730729,10000,10000,1411,1107,0,0,5115,8741,100000000,1561977,51158741
156,0.665447,0.280755,100710496,0,0,99502992,10000,10000,1112,461,0,0,5151,7203,100000000,512632,51517203
78,0.431316,0.178958,75333112,0,0,58595889,10000,10000,2756,5992,0,0,5220,2352,100000000,16513952,52202352
88,0.692018,0.297112,99277434,0,0,95682625,10000,10000,2966,1187,0,0,5223,8385,100000000,3520642,52238385
256,0.712917,0.287077,104608884,0,0,104337164,10000,10000,824,87,0,0,5248,4049,100000000,71688,52484049
187,0.689454,0.287425,106563520,0,0,102124874,10000,10000,1854,703,0,0,5253,719,100000000,1303362,52530719
236,0.397231,0.165039,68381886,0,0,66802551,10000,10000,240,3807,0,0,5265,197,100000000,913680,52650197
18,0.44924,0.188780,87923388,0,0,71924211,10000,10000,3364,4703,0,0,5277,4970,100000000,15820892,52774970
65,0.467421,0.192989,88696538,0,0,72114198,10000,10000,3136,4785,0,0,5323,1160,100000000,15005760,53231160
125,0.482831,0.192463,74967564,0,0,69127558,10000,10000,1308,4089,0,0,5352,2751,100000000,5348412,53522751
76,0.457759,0.198897,80679068,0,0,50886433,10000,10000,3323,8082,0,0,5496,74,100000000,26856486,54960074
103,0.556143,0.238718,99435972,0,0,95164432,10000,10000,2391,1753,0,0,5509,8213,100000000,4191423,55098213
75,0.669243,0.288279,109979772,0,0,107208526,10000,10000,2591,533,0,0,5515,2619,100000000,1381003,55152619
274,0.647879,0.262275,98573830,0,0,97609314,10000,10000,651,1250,0,0,5521,8127,100000000,813750,55218127
279,0.462062,0.191622,78466634,0,0,75231161,10000,10000,926,3493,0,0,5531,2095,100000000,3234518,55312095
237,0.915095,0.384393,109015726,0,0,106160614,10000,10000,3622,770,0,0,5595,5305,100000000,2788940,55955305
278,0.645018,0.267621,106539756,0,0,99185036,10000,10000,4057,1796,0,0,5595,8182,100000000,7286372,55958182
3,0.269431,0.114965,49253850,0,0,45297487,10000,10000,598,6357,0,0,5672,1793,100000000,3801486,56721793
123,0.61825,0.252543,103241390,0,0,94393402,10000,10000,3589,2465,0,0,5675,5906,100000000,8846885,56755906
226,0.643855,0.266074,108937690,0,0,105338404,10000,10000,2974,1060,0,0,5689,4209,100000000,3152440,56894209
167,0.761733,0.318188,119359444,0,0,118005537,10000,10000,4039,5,0,0,5834,9150,100000000,20195,58349150
273,0.66962,0.274325,110853678,0,0,106853352,10000,10000,2448,1189,0,0,5835,8492,100000000,2910672,58358492
12,0.379289,0.162837,69178052,0,0,64107050,10000,10000,868,4965,0,0,5861,2027,100000000,4309620,58612027
196,0.647974,0.277014,104266340,0,0,103202823,10000,10000,548,1349,0,0,5902,5548,100000000,739252,59025548
207,0.590732,0.244693,107808022,0,0,100666390,10000,10000,3278,2112,0,0,5927,4275,100000000,6923136,59274275
194,0.426805,0.181235,76593694,0,0,59282075,10000,10000,2630,6492,0,0,5980,1407,100000000,17073960,59801407
26,0.358097,0.153160,60169124,0,0,33790709,10000,10000,2803,9392,0,0,6085,381,100000000,26325776,60850381
241,0.442753,0.178142,80678072,0,0,60209949,10000,10000,3009,6749,0,0,6110,1192,100000000,20307741,61101192
112,0.412021,0.173336,75336882,0,0,69667194,10000,10000,1029,4795,0,0,6146,2676,100000000,4934055,61462676
72,0.631045,0.271773,108742164,0,0,106783508,10000,10000,884,1484,0,0,6153,7324,100000000,1311856,61537324
177,0.403808,0.171783,78460690,0,0,72450608,10000,10000,1293,4607,0,0,6158,4010,100000000,5956851,61584010
119,0.718283,0.295575,117242856,0,0,115283344,10000,10000,894,832,0,0,6179,6664,100000000,743808,61796664
101,0.57817,0.242716,101284028,0,0,98152351,10000,10000,1004,2373,0,0,6228,3152,100000000,2382492,62283152
49,0.657674,0.281772,113205454,0,0,108807372,10000,10000,2014,1676,0,0,6270,6894,100000000,3375464,62706894
89,0.790561,0.336352,121348870,0,0,119314131,10000,10000,1223,678,0,0,6289,7348,100000000,829194,62897348
254,0.767548,0.324581,114697716,0,0,111726864,10000,10000,1375,1360,0,0,6293,192,100000000,1870000,62930192
6,0.656962,0.281997,115348832,0,0,107265013,10000,10000,3364,2121,0,0,6293,1756,100000000,7135044,62931756
165,0.371746,0.157420,71365360,0,0,62721237,10000,10000,1311,5737,0,0,6341,532,100000000,7521207,63410532
148,0.658758,0.277364,108939428,0,0,108084421,10000,10000,480,1600,0,0,6381,7925,100000000,768000,63817925
17,0.730467,0.294821,115570602,0,0,113438146,10000,10000,1258,1435,0,0,6496,8108,100000000,1805230,64968108
214,0.785036,0.306559,122852458,0,0,121992889,10000,10000,209,684,0,0,6500,6159,100000000,142956,65006159
179,0.745105,0.320659,118131448,0,0,115482297,10000,10000,1610,1332,0,0,6507,7389,100000000,2144520,65077389
175,0.568692,0.242343,101929272,0,0,100247309,10000,10000,544,2437,0,0,6515,3212,100000000,1325728,65153212
98,0.914165,0.368820,132361750,0,0,130972269,10000,10000,1694,95,0,0,6540,6153,100000000,160930,65406153
47,0.523148,0.226676,98122662,0,0,88902084,10000,10000,2313,3921,0,0,6552,4592,100000000,9069273,65524592
9,0.770441,0.332306,122746002,0,0,120724915,10000,10000,1777,945,0,0,6553,7945,100000000,1679265,65537945
4,0.976975,0.415566,132634312,0,0,131481912,10000,10000,2939,96,0,0,6578,9665,100000000,282144,65789665
230,0.6928,0.288620,113009644,0,0,108670274,10000,10000,1360,2113,0,0,6613,2107,100000000,2873680,66132107
247,0.576819,0.241063,103613200,0,0,96019788,10000,10000,2172,3393,0,0,6690,5667,100000000,7369596,66905667
