#          time	        caltime	         pixmem	     addsOrSubs	      divisions	    comparisons	          width	         height	         width2	        height2	             dx	             dy
#          time	        caltime	         pixmem	     addsOrSubs	      divisions	    comparisons	          width	         height	         width2	        height2	             dx	             dy
       0.128266	       0.055225	       23447198	              0	              0	       19950710	          10000	          10000	           6388	            519	              0	              0
# FOUND (867,6216)
#          time	        caltime	         pixmem	     addsOrSubs	      divisions	    comparisons	          width	         height	         width2	        height2	             dx	             dy
       0.344824	       0.147025	       56157880	              0	              0	       54753126	          10000	          10000	           2920	            187	              0	              0
# FOUND (2717,9547)
#          time	        caltime	         pixmem	     addsOrSubs	      divisions	    comparisons	          width	         height	         width2	        height2	             dx	             dy
       0.381007	       0.165300	       66626152	              0	              0	       65354400	          10000	          10000	            667	           1745	              0	              0
# FOUND (3880,8043)
#          time	        caltime	         pixmem	     addsOrSubs	      divisions	    comparisons	          width	         height	         width2	        height2	             dx	             dy
       0.202379	       0.087160	       36989222	              0	              0	       30199793	          10000	          10000	           6323	           1064	              0	              0
# FOUND (1309,6648)
#          time	        caltime	         pixmem	     addsOrSubs	      divisions	    comparisons	          width	         height	         width2	        height2	             dx	             dy
       0.546428	       0.224302	       91580774	              0	              0	       89000648	          10000	          10000	             98	           5061	              0	              0
# FOUND (8747,80)
#          time	        caltime	         pixmem	     addsOrSubs	      divisions	    comparisons	          width	         height	         width2	        height2	             dx	             dy
       0.914165	       0.368820	      132361750	              0	              0	      130972269	          10000	          10000	           1694	             95	              0	              0
# FOUND (6540,6153)
#          time	        caltime	         pixmem	     addsOrSubs	      divisions	    comparisons	          width	         height	         width2	        height2	             dx	             dy
       0.690593	       0.291579	       87548024	              0	              0	       70003979	          10000	          10000	           4043	           4158	              0	              0
# FOUND (4489,739)
#          time	        caltime	         pixmem	     addsOrSubs	      divisions	    comparisons	          width	         height	         width2	        height2	             dx	             dy
       0.932932	       0.378366	      147435036	              0	              0	      145943893	          10000	          10000	           1173	            810	              0	              0
# FOUND (7858,3496)
#          time	        caltime	         pixmem	     addsOrSubs	      divisions	    comparisons	          width	         height	         width2	        height2	             dx	             dy
       0.578170	       0.242716	      101284028	              0	              0	       98152351	          10000	          10000	           1004	           2373	              0	              0
# FOUND (6228,3152)
#          time	        caltime	         pixmem	     addsOrSubs	      divisions	    comparisons	          width	         height	         width2	        height2	             dx	             dy
       0.721350	       0.300769	      123248896	              0	              0	      117651746	          10000	          10000	           2343	           1665	              0	              0
# FOUND (6721,1041)
#          time	        caltime	         pixmem	     addsOrSubs	      divisions	    comparisons	          width	         height	         width2	        height2	             dx	             dy
       0.556143	       0.238718	       99435972	              0	              0	       95164432	          10000	          10000	           2391	           1753	              0	              0
# FOUND (5509,8213)
#          time	        caltime	         pixmem	     addsOrSubs	      divisions	    comparisons	          width	         height	         width2	        height2	             dx	             dy
       0.289293	       0.121638	       42139354	              0	              0	       39247822	          10000	          10000	           2475	           1005	              0	              0
# FOUND (2020,6224)
#          time	        caltime	         pixmem	     addsOrSubs	      divisions	    comparisons	          width	         height	         width2	        height2	             dx	             dy
       0.343654	       0.146007	       57276490	              0	              0	       51292516	          10000	          10000	           5956	            996	              0	              0
# FOUND (2515,6695)
#          time	        caltime	         pixmem	     addsOrSubs	      divisions	    comparisons	          width	         height	         width2	        height2	             dx	             dy
       1.098929	       0.454340	      167861988	              0	              0	      166824478	          10000	          10000	            632	           1033	              0	              0
# FOUND (9243,2259)
#          time	        caltime	         pixmem	     addsOrSubs	      divisions	    comparisons	          width	         height	         width2	        height2	             dx	             dy
       1.137505	       0.438471	      176313004	              0	              0	      174968189	          10000	          10000	            634	            387	              0	              0
# FOUND (9029,6880)
#          time	        caltime	         pixmem	     addsOrSubs	      divisions	    comparisons	          width	         height	         width2	        height2	             dx	             dy
       0.487886	       0.202171	       79513300	              0	              0	       78766425	          10000	          10000	            323	            813	              0	              0
# FOUND (4245,6714)
#          time	        caltime	         pixmem	     addsOrSubs	      divisions	    comparisons	          width	         height	         width2	        height2	             dx	             dy
       0.328155	       0.139648	       55187854	              0	              0	       54836414	          10000	          10000	             69	           3674	              0	              0
# FOUND (4305,4751)
#          time	        caltime	         pixmem	     addsOrSubs	      divisions	    comparisons	          width	         height	         width2	        height2	             dx	             dy
       0.240471	       0.101632	       43983868	              0	              0	       27162667	          10000	          10000	           8874	           1848	              0	              0
# FOUND (634,1730)
#          time	        caltime	         pixmem	     addsOrSubs	      divisions	    comparisons	          width	         height	         width2	        height2	             dx	             dy
       0.387732	       0.121595	       65606104	              0	              0	       60677359	          10000	          10000	           6045	            780	              0	              0
# FOUND (3022,8444)
#          time	        caltime	         pixmem	     addsOrSubs	      divisions	    comparisons	          width	         height	         width2	        height2	             dx	             dy
       0.412021	       0.173336	       75336882	              0	              0	       69667194	          10000	          10000	           1029	           4795	              0	              0
# FOUND (6146,2676)
#          time	        caltime	         pixmem	     addsOrSubs	      divisions	    comparisons	          width	         height	         width2	        height2	             dx	             dy
       0.250201	       0.105117	       45839808	              0	              0	       42839990	          10000	          10000	           1599	           1504	              0	              0
# FOUND (2344,3117)
#          time	        caltime	         pixmem	     addsOrSubs	      divisions	    comparisons	          width	         height	         width2	        height2	             dx	             dy
       0.871614	       0.366309	      146522926	              0	              0	      144140482	          10000	          10000	            431	           2151	              0	              0
# FOUND (9029,1368)
